Crypto,Date,Open,High,Low,Close
LTC,8/27/21,169.81,175.6,165.25,175.04
LTC,8/26/21,177.05,180.15,165.32,169.81
LTC,8/25/21,176.74,178.87,169.89,177.03
LTC,8/24/21,186.3,188.44,172.54,176.78
LTC,8/23/21,179.82,191.68,179.02,186.14
LTC,8/22/21,178.3,189.56,177.82,179.82
LTC,8/21/21,180.84,184.43,176.98,177.94
LTC,8/20/21,174.0,183.97,173.36,180.84
LTC,8/19/21,165.05,174.96,162.8,174.01
LTC,8/18/21,172.99,174.48,163.22,165.19
LTC,8/17/21,179.94,184.24,169.91,173.02
LTC,8/16/21,183.63,188.94,177.73,179.94
LTC,8/15/21,178.86,186.38,175.29,183.42
LTC,8/14/21,181.29,185.0,175.2,178.82
LTC,8/13/21,165.98,182.7,161.97,181.09
LTC,8/12/21,174.26,179.61,160.85,165.68
LTC,8/11/21,167.02,176.0,164.29,174.26
LTC,8/10/21,164.29,168.49,159.04,166.75
LTC,8/9/21,148.68,170.52,145.41,164.56
LTC,8/8/21,154.6,157.56,147.36,148.68
LTC,8/7/21,148.66,156.21,147.0,154.6
LTC,8/6/21,144.34,150.72,142.02,148.66
LTC,8/5/21,143.64,144.78,136.32,144.33
LTC,8/4/21,139.16,144.0,135.65,143.63
LTC,8/3/21,139.78,143.2,135.86,139.16
LTC,8/2/21,146.2,146.72,138.22,139.78
LTC,8/1/21,143.91,149.79,143.09,146.2
LTC,7/31/21,142.52,146.53,142.01,143.91
LTC,7/30/21,140.94,143.66,136.02,142.48
LTC,7/29/21,138.29,141.95,136.96,140.94
LTC,7/28/21,133.06,140.43,132.55,138.44
LTC,7/27/21,132.62,134.54,127.45,133.14
LTC,7/26/21,124.7,140.32,124.56,132.54
LTC,7/25/21,123.85,127.99,123.66,124.7
LTC,7/24/21,120.0,127.74,119.86,123.85
LTC,7/23/21,120.18,123.52,117.07,120.0
LTC,7/22/21,116.51,121.9,115.68,120.18
LTC,7/21/21,109.18,119.1,105.15,116.59
LTC,7/20/21,113.8,114.98,103.95,109.18
LTC,7/19/21,119.15,121.99,111.91,113.8
LTC,7/18/21,121.24,124.03,116.75,119.4
LTC,7/17/21,123.51,124.26,117.78,121.27
LTC,7/16/21,125.28,127.69,120.97,123.51
LTC,7/15/21,131.18,132.98,122.09,125.28
LTC,7/14/21,131.31,131.97,124.0,131.37
LTC,7/13/21,132.55,134.5,129.61,131.16
LTC,7/12/21,133.74,139.62,131.87,132.55
LTC,7/11/21,133.9,135.83,132.25,133.74
LTC,7/10/21,133.66,136.67,130.52,132.18
LTC,7/9/21,131.58,135.36,126.3,133.66
LTC,7/8/21,139.6,139.6,128.01,131.58
LTC,7/7/21,137.23,142.9,135.9,139.6
LTC,7/6/21,138.8,142.69,135.77,137.23
LTC,7/5/21,146.07,147.98,134.29,138.8
LTC,7/4/21,139.73,147.0,136.99,146.07
LTC,7/3/21,133.17,141.34,133.08,139.72
LTC,7/2/21,136.42,138.93,130.69,133.17
LTC,7/1/21,142.34,144.51,134.35,136.12
LTC,6/30/21,144.74,146.76,136.17,142.43
LTC,6/29/21,137.31,149.16,135.93,144.74
LTC,6/28/21,125.5,138.9,125.06,137.31
LTC,6/27/21,124.2,129.94,124.14,125.5
LTC,6/26/21,128.63,129.31,118.87,121.99
LTC,6/25/21,136.06,138.33,125.21,128.83
LTC,6/24/21,125.34,137.31,123.8,136.06
LTC,6/23/21,122.51,133.74,117.5,125.34
LTC,6/22/21,134.0,134.0,105.04,122.51
LTC,6/21/21,155.89,156.0,127.96,134.22
LTC,6/20/21,156.4,156.43,143.97,155.89
LTC,6/19/21,154.27,160.88,153.58,156.4
LTC,6/18/21,164.36,167.42,151.91,154.27
LTC,6/17/21,167.9,173.31,163.08,164.17
LTC,6/16/21,173.22,177.14,164.68,168.25
LTC,6/15/21,173.87,180.95,172.37,173.22
LTC,6/14/21,173.28,177.82,172.96,173.7
LTC,6/13/21,162.55,171.24,157.4,171.24
LTC,6/12/21,163.75,163.75,154.8,162.55
LTC,6/11/21,167.17,172.5,165.25,163.75
LTC,6/10/21,169.75,174.45,162.38,166.85
LTC,6/9/21,161.7,172.96,152.67,169.79
LTC,6/8/21,168.42,169.21,145.46,161.6
LTC,6/7/21,175.0,182.21,166.84,168.71
LTC,6/6/21,173.66,179.98,168.37,175.0
LTC,6/5/21,179.34,185.42,170.67,173.89
LTC,6/4/21,190.5,193.74,169.66,179.34
LTC,6/3/21,186.14,197.7,182.41,190.45
LTC,6/2/21,180.73,191.18,178.66,186.14
LTC,6/1/21,182.2,193.0,176.01,180.83
