Crypto,Date,Open,High,Low,Close
XRP,11/29/20,0.63,0.64,0.58,0.61
XRP,11/28/20,0.55,0.65,0.54,0.63
XRP,11/27/20,0.53,0.59,0.51,0.55
XRP,11/26/20,0.63,0.65,0.46,0.52
XRP,11/25/20,0.68,0.72,0.58,0.64
XRP,11/24/20,0.57,0.78,0.57,0.68
XRP,11/23/20,0.47,0.58,0.43,0.57
XRP,11/22/20,0.43,0.5,0.41,0.47
XRP,11/21/20,0.33,0.44,0.32,0.43
XRP,11/20/20,0.3,0.33,0.3,0.33
XRP,11/19/20,0.29,0.31,0.28,0.3
XRP,11/18/20,0.3,0.31,0.28,0.29
XRP,11/17/20,0.28,0.31,0.28,0.3
XRP,11/16/20,0.27,0.29,0.26,0.28
XRP,11/15/20,0.27,0.28,0.27,0.27
XRP,11/14/20,0.26,0.28,0.26,0.27
XRP,11/13/20,0.26,0.27,0.25,0.26
XRP,11/12/20,0.26,0.26,0.25,0.26
XRP,11/11/20,0.26,0.26,0.25,0.26
XRP,11/10/20,0.25,0.26,0.25,0.26
XRP,11/9/20,0.25,0.26,0.25,0.25
XRP,11/8/20,0.25,0.26,0.25,0.25
XRP,11/7/20,0.26,0.27,0.24,0.25
XRP,11/6/20,0.24,0.26,0.24,0.26
XRP,11/5/20,0.24,0.25,0.24,0.24
XRP,11/4/20,0.24,0.24,0.23,0.24
XRP,11/3/20,0.24,0.24,0.23,0.24
XRP,11/2/20,0.24,0.24,0.23,0.24
XRP,11/1/20,0.24,0.24,0.24,0.24
XRP,10/31/20,0.24,0.24,0.24,0.24
XRP,10/30/20,0.24,0.24,0.23,0.24
XRP,10/29/20,0.25,0.25,0.24,0.24
XRP,10/28/20,0.25,0.26,0.24,0.25
XRP,10/27/20,0.25,0.25,0.25,0.25
XRP,10/26/20,0.25,0.26,0.24,0.25
XRP,10/25/20,0.26,0.26,0.25,0.25
XRP,10/24/20,0.25,0.26,0.25,0.26
XRP,10/23/20,0.26,0.26,0.25,0.25
XRP,10/22/20,0.25,0.26,0.25,0.26
XRP,10/21/20,0.24,0.25,0.24,0.25
XRP,10/20/20,0.25,0.25,0.24,0.24
XRP,10/19/20,0.24,0.25,0.24,0.25
XRP,10/18/20,0.24,0.24,0.24,0.24
XRP,10/17/20,0.24,0.24,0.24,0.24
XRP,10/16/20,0.25,0.25,0.24,0.24
XRP,10/15/20,0.25,0.25,0.24,0.25
XRP,10/14/20,0.26,0.26,0.25,0.25
XRP,10/13/20,0.26,0.26,0.25,0.26
XRP,10/12/20,0.26,0.26,0.25,0.26
XRP,10/11/20,0.26,0.26,0.25,0.25
XRP,10/10/20,0.25,0.26,0.25,0.26
XRP,10/9/20,0.25,0.26,0.25,0.25
